JURASSIC STORES 2013 LTD,,
UPDATED PRICELIST,,
Product Name,P/PCS,P/CTN
21 Cane 250ml,171.00,170.00
4Cousin Marula Dream  500ml,"1,610.00","1,600.00"
4cousins Red 3L,"1,750.00","1,745.00"
4cousins  Red 750ml,880.00,875.00
4COUSINS ROSE 750ML,810.00,805.00
4 Cousins.Sweet Red 1.5,"1,575.00","1,570.00"
4 Cousins. Sweet White 1.5,"1,575.00","1,570.00"
4Cousins.Swt White 750Ml,880.00,875.00
4 Cousins Swt White Sparkling 750ml,"1,000.00",990.00
4Cousin Strawberry Cream  500ml,"1,460.00","1,455.00"
4Cousin sweet Red 5ltrs,"3,990.00","3,980.00"
4cousin Sweet Rose Can 250ml,385.00,380.00
4cousin Sweet White  5ltrs,"3,990.00","3,980.00"
4cousin Sweet White  Can 250ml,385.00,380.00
4th Street Red  1.5ltr2,"1,470.00","1,460.00"
4Th Street  Red 1.5Ltrs,"1,694.00","1,686.00"
4Th Street  Red 5L1,"4,010.00","3,992.00"
4th Street Red 5L2,"4,000.00","3,990.00"
4Th Street  Red 750ml 1,875.00,872.00
4th Street Red 750ml 2,875.00,872.00
4Th Street  Rose 5L,"3,525.00","3,507.00"
4Th Street Rose 750ml,875.00,872.00
4Th Street  White 5L 1,"3,350.00","3,300.00"
4th Street White 5L2,"3,850.00","3,835.00"
4Th Street  White 750ml 1,875.00,872.00
4th Street White 750ml2,875.00,872.00
58 Classic Gin 750ml,"1,185.00","1,180.00"
58 Classic  G&T 330ml Can,212.00,210.00
58 GIN 350ML,585.00,580.00
58 Orange gin 350ml,585.00,580.00
58 Spiced Orange 750ml,"1,335.00","1,330.00"
58 Spiced Orange G&T 330ml Can,212.00,210.00
58 Very Berry G&T 330ml Can,212.00,210.00
5TH GENERATION RED 5L,"2,900.00","2,900.00"
5TH GENERATION WHITE 5L,"2,900.00","2,900.00"
#7 GIN BLUEBERRY 750ML,995.00,995.00
#7 GIN LEMON 750ML,995.00,995.00
#7 GIN MIXBERRY,995.00,995.00
#7 GIN NATURAL 750ML,995.00,995.00
#7 GIN ORANGE 750ML,995.00,995.00
#7 GIN PASSION 750ML,995.00,995.00
