page,raw_line,lane_candidate,matched_lane,rate_1,rate_2,lane,rate_value,diff_rate_1
9,"KOLNGO F24- ATHIRIVER LAT BEER BEER NBO NAIROBI | ATHIRIVER 141 33,717.07 12,345.36",F24- ATHIRIVER LAT BEER,KBL NBO F20 - ATHIRIVER 30T BEER,33717.07,12345.36,KBL NBO F20 - ATHIRIVER 30T BEER,637.12,33079.95
9,"KEL NEO F24. BOMET 147 BEER BEER N RINT bomet 1aT 57,363.99 ee",F24. BOMET 147 BEER,,57363.99,,,,
9,"NBO F24- RUNGOMA 147 BEER BEER NBO RIFT BUNGOMA 447 99,104.00",F24- RUNGOMA 147 BEER,KBL NBO F20 - BUNGOMA 14T BEER,99104.0,,KBL NBO F20 - BUNGOMA 14T BEER,372.05,98731.95
9,"KBL NBO F24- BUSIA 347 BEER BEER NBO UAKE |BUSIA 1a 110,943.09 99,848.78",F24- BUSIA 347 BEER,,110943.09,99848.78,,,
9,"KDL.NDO F24-CHUKA 147 BEER BEER NBO MOUNTAIN |CHUKA aaT A3,047,79 30,743.01",F24-CHUKA 147 BEER,,30743.01,,,,
9,"MBL NBO F24 - ELDORET 147 BEER BEER NBO RIFY FLDORET 1aT 79,998.73 71,998.84",F24 - ELDORET 147 BEER,KBL NBO F20 - ELDORET 14T BEER,79998.73,71998.84,KBL NBO F20 - ELDORET 14T BEER,990.52,79008.20999999999
9,"KBL NBO F24 . EMOU 147 BEER impu 1aT 34,004.38 30,603.94",F24. EMOU 147 BEER,,34004.38,30603.94,,,
9,"KBLNEO F24- GIKOMBA 147 BEER GIKOMBA aT 15,851.56 14,266.40",F24- GIKOMBA 147 BEER,KBL NBO F20 - GIKOMBA 14T BEER,15851.56,14266.4,KBL NBO F20 - GIKOMBA 14T BEER,534.24,15317.32
9,"KBLN8O F24 . HURLIGHUM DEF 147 BEER NAIROB! | HURLIGHUM DEF iat 31,508.82 10,717.94",F24. HURLIGHUM DEF 147 BEER,,31508.82,10717.94,,,
9,"KBL NBO F24 - INDUSTRIAL AREA 14T BEER BEER NBO NAIROBI [INDUSTRIAL AREA ua a 12,329.14",F24 - INDUSTRIAL AREA 14T BEER,KBL NBO F20 - INDUSTRIAL AREA 14T BEER,12329.14,,KBL NBO F20 - INDUSTRIAL AREA 14T BEER,111.04,12218.099999999999
9,"KBL NBO F24 . ISIOLO 147 BEER GEER Noo MOUNTAIN | 5100 lat 57,558.23 60,802.41",F24. ISIOLO 147 BEER,,57558.23,60802.41,,,
9,"KGL NAO F24- KABARNET 147 BEER GEER NBO RIFT KABARNET 1aT 81,725.20 73,552.68",F24- KABARNET 147 BEER,KBL NBO F20 - KABARNET 14T BEER,81725.2,73552.68,KBL NBO F20 - KABARNET 14T BEER,752.24,80972.95999999999
9,"KOL NBO F24- KABATI 147 BEER BEER NBO MOUNTAIN |KABATI 1aT 17,801,18 16,021.06",F24- KABATI 147 BEER,KBL NBO F20 - KABATI 14T BEER,16021.06,,KBL NBO F20 - KABATI 14T BEER,923.65,15097.41
9,"KBL NBO F24 - KANGEMA LAT BEER BEER Nao jeune Kangara uar 27,165.18 24,628.66",F24 - KANGEMA LAT BEER,,27165.18,24628.66,,,
9,"KBL NGO F24. KIBERA 147 BEER BEER NBO WAMmOD! _|KIBERA iat 10,372.17 9,334.95",F24. KIBERA 147 BEER,,10372.17,9334.95,,,
