page,raw_line,lane_candidate,lane_clean,matched_lane,ocr_rate,matched_rate,diff
9,"KOLNGO F24- ATHIRIVER LAT BEER BEER NBO NAIROBI | ATHIRIVER 141 33,717.07 12,345.36",KOLNGO F24- ATHIRIVER LAT BEER,KOLNGO F24 ATHIRIVER LAT BEER,KBL NBO F20  ATHIRIVER 75T BEER,33717.07,864.13,32852.94
9,"KEL NEO F24. BOMET 147 BEER BEER N RINT bomet 1aT 57,363.99 ee",KEL NEO F24. BOMET 147 BEER,KEL NEO F24 BOMET 147 BEER,KBL NBO F20  BOMET 14T BEER,57363.99,893.87,56470.119999999995
9,"NBO F24- RUNGOMA 147 BEER BEER NBO RIFT BUNGOMA 447 99,104.00",NBO F24- RUNGOMA 147 BEER,NBO F24 RUNGOMA 147 BEER,KBL NBO F20  BUNGOMA 14T BEER,99104.0,372.05,98731.95
9,"KBLN8O F24 « BURUBURU 14T BEER |REER NBO NAIROBI! | Buraburu ut 15,075.68 13,556683..1111",KBLN8O F24 « BURUBURU 14T BEER,KBLN8O F24  BURUBURU 14T BEER,KBL NBO F20  BURUBURU 14T BEER,15075.68,742.53,14333.15
9,"KBL NBO F24- BUSIA 347 BEER BEER NBO UAKE |BUSIA 1a 110,943.09 99,848.78",KBL NBO F24- BUSIA 347 BEER,KBL NBO F24 BUSIA 347 BEER,KBL NBO F20  BUSIA 75T BEER,110943.09,515.4,110427.69
9,"KDL.NDO F24-CHUKA 147 BEER BEER NBO MOUNTAIN |CHUKA aaT A3,047,79 30,743.01",KDL.NDO F24-CHUKA 147 BEER,KDLNDO F24CHUKA 147 BEER,KBL NBO F20  CHUKA 14T BEER,30743.01,285.5,30457.51
9,"KBLNBO F24 - DAGORETTI CORNER 141 BEEN rt N NAIROBI DAGORETTI CORNER 14T 33,476.82 12,429.14","KBLNBO F24 - DAGORETTI CORNER 141 BEEN rt N NAIROBI DAGORETTI CORNER 14T 33,476.82 12,429.14",KBLNBO F24  DAGORETTI CORNER 141 BEEN RT N NAIROBI DAGORETTI CORNER 14T 3347682 1242914,,33476.82,,
9,"MBL NBO F24 - ELDORET 147 BEER BEER NBO RIFY FLDORET 1aT 79,998.73 71,998.84",MBL NBO F24 - ELDORET 147 BEER,MBL NBO F24  ELDORET 147 BEER,KBL NBO F20  ELDORET 14T BEER,79998.73,990.52,79008.20999999999
9,"KBL NBO F24 . EMALIi4T AEER GEER Na coast EMAL 1a 34,635.32 34,371.79","KBL NBO F24 . EMALIi4T AEER GEER Na coast EMAL 1a 34,635.32 34,371.79",KBL NBO F24  EMALII4T AEER GEER NA COAST EMAL 1A 3463532 3437179,,34635.32,,
9,"NDO F2d - EMDAKASI 147 BEER NAIROBI |EMBAKASI 147. 31,908.02 10,737.94",NDO F2d - EMDAKASI 147 BEER NAIROBI,NDO F2D  EMDAKASI 147 BEER NAIROBI,KBL NBO F20  EMBAKASI 14T BEER,31908.02,111.04,31796.98
9,"KBL NBO F24 . EMOU 147 BEER impu 1aT 34,004.38 30,603.94",KBL NBO F24 . EMOU 147 BEER,KBL NBO F24  EMOU 147 BEER,KBL NBO F20  EMBU 14T BEER,34004.38,57.53,33946.85
9,"KBL NBO F24-GARISSA 147 DEER GARISSA L4T 88,050.38 79,965.34","KBL NBO F24-GARISSA 147 DEER GARISSA L4T 88,050.38 79,965.34",KBL NBO F24GARISSA 147 DEER GARISSA L4T 8805038 7996534,,88050.38,,
9,"KBLNEO F24- GIKOMBA 147 BEER GIKOMBA aT 15,851.56 14,266.40",KBLNEO F24- GIKOMBA 147 BEER,KBLNEO F24 GIKOMBA 147 BEER,KBL NBO F20  GIKOMBA 14T BEER,15851.56,534.24,15317.32
9,"KBL NO F2A - GILGIL 147 NEER RIFT GILGIL 147 35,055.04 31,550,34","KBL NO F2A - GILGIL 147 NEER RIFT GILGIL 147 35,055.04 31,550,34",KBL NO F2A  GILGIL 147 NEER RIFT GILGIL 147 3505504 3155034,,35055.04,,
9,"KBLN8O F24 . HURLIGHUM DEF 147 BEER NAIROB! | HURLIGHUM DEF iat 31,508.82 10,717.94",KBLN8O F24 . HURLIGHUM DEF 147 BEER,KBLN8O F24  HURLIGHUM DEF 147 BEER,KBL NBO F20  HURLIGHUM DEF 14T BEER,31508.82,111.04,31397.78
9,"KBL NBO F24 - INDUSTRIAL AREA 14T BEER BEER NBO NAIROBI [INDUSTRIAL AREA ua a 12,329.14",KBL NBO F24 - INDUSTRIAL AREA 14T BEER,KBL NBO F24  INDUSTRIAL AREA 14T BEER,KBL NBO F20  INDUSTRIAL AREA 14T BEER,12329.14,111.04,12218.099999999999
9,"KBL NBO F24 . ISIOLO 147 BEER GEER Noo MOUNTAIN | 5100 lat 57,558.23 60,802.41",KBL NBO F24 . ISIOLO 147 BEER,KBL NBO F24  ISIOLO 147 BEER,KBL NBO F20  ISIOLO 14T BEER,57558.23,296.15,57262.08
9,"KGL NHO F24- (TEN aT ALeR BEER NBO RIFT ITEN 1a 86,230.85 11,607.17","KGL NHO F24- (TEN aT ALeR BEER NBO RIFT ITEN 1a 86,230.85 11,607.17",KGL NHO F24 TEN AT ALER BEER NBO RIFT ITEN 1A 8623085 1160717,,86230.85,,
9,"KBL NBO F24 « JUJA LOT BEER BEER NBO MOUNTAIN [iuja iat 10,895.95 9,896.36","KBL NBO F24 « JUJA LOT BEER BEER NBO MOUNTAIN [iuja iat 10,895.95 9,896.36",KBL NBO F24  JUJA LOT BEER BEER NBO MOUNTAIN IUJA IAT 1089595 989636,,10895.95,,
9,"KGL NAO F24- KABARNET 147 BEER GEER NBO RIFT KABARNET 1aT 81,725.20 73,552.68",KGL NAO F24- KABARNET 147 BEER,KGL NAO F24 KABARNET 147 BEER,KBL NBO F20  KABARNET 14T BEER,81725.2,752.24,80972.95999999999
9,"KOL NBO F24- KABATI 147 BEER BEER NBO MOUNTAIN |KABATI 1aT 17,801,18 16,021.06",KOL NBO F24- KABATI 147 BEER,KOL NBO F24 KABATI 147 BEER,KBL NBO F20  KABATI 14T BEER,16021.06,923.65,15097.41
9,"KBL NBO F24 « KAGIO 14T BEER BEER Nao MOUNTAIN | Kagio 1a 30,357.53 27,321.78",KBL NBO F24 « KAGIO 14T BEER BEER Nao MOUNTAIN,KBL NBO F24  KAGIO 14T BEER BEER NAO MOUNTAIN,KBL NBO F20  KAGIO 14T BEER,30357.53,336.25,30021.28
9,"KBL NBO F24 - KANGEMA LAT BEER BEER Nao jeune Kangara uar 27,165.18 24,628.66",KBL NBO F24 - KANGEMA LAT BEER,KBL NBO F24  KANGEMA LAT BEER,KBL NBO F20  KANGEMA 75T BEER,27165.18,944.83,26220.35
9,"KBL NEO F24 . KAPSABET 147 BEEA EER Nao RIFT Kaprabet 1aT. 77,250.15 69,525.14","KBL NEO F24 . KAPSABET 147 BEEA EER Nao RIFT Kaprabet 1aT. 77,250.15 69,525.14",KBL NEO F24  KAPSABET 147 BEEA EER NAO RIFT KAPRABET 1AT 7725015 6952514,,77250.15,,
9,"KGL INDO F2a- KARATINA 147 DELA BEER NBO MOUNTAIN |RARATINA iaT 31,136.48 20,022.88",KGL INDO F2a- KARATINA 147 DELA BEER NBO MOUNTAIN,KGL INDO F2A KARATINA 147 DELA BEER NBO MOUNTAIN,KBL NBO F20  KARATINA 14T BEER,31136.48,331.1,30805.38
9,"KBL NBO F24» KERICHO 14T BEER BEER Nao AIT KEMICHO 1aT 65,776.97 59,198.82","KBL NBO F24» KERICHO 14T BEER BEER Nao AIT KEMICHO 1aT 65,776.97 59,198.82",KBL NBO F24 KERICHO 14T BEER BEER NAO AIT KEMICHO 1AT 6577697 5919882,,65776.97,,
9,"KGL NBO F24 - KERUGOYA 147 BEEN OrtR NBO MOUNTAIN | Kerugoya LT 31,557.13 28,401.40",KGL NBO F24 - KERUGOYA 147 BEEN OrtR NBO MOUNTAIN,KGL NBO F24  KERUGOYA 147 BEEN ORTR NBO MOUNTAIN,KBL NBO F20  KERUGOYA 14T BEER,31557.13,760.31,30796.82
9,"KBL NGO F24. KIBERA 147 BEER BEER NBO WAMmOD! _|KIBERA iat 10,372.17 9,334.95",KBL NGO F24. KIBERA 147 BEER,KBL NGO F24 KIBERA 147 BEER,KBL NBO F20  KIBERA 14T BEER,10372.17,243.03,10129.14
9,"KBLNOO F24- KIBWEZI] AT DEER mn NBO COAST _|KISWEZ! 34 50,634.04 45,570.62",KBLNOO F24- KIBWEZI] AT DEER mn NBO COAST _,KBLNOO F24 KIBWEZI AT DEER MN NBO COAST ,KBL NBO F20  KIBWEZI 75T BEER,50634.04,877.22,49756.82
9,"KBL NBO F24 - KISH 147 BEER BEER NBO fas ASH iat 74,580.04 67,322.05",KBL NBO F24 - KISH 147 BEER,KBL NBO F24  KISH 147 BEER,KBL NBO F20  KISII 14T BEER,74580.04,462.18,74117.86
9,"KBL NGO F24« KISUMU 14T BEER EER N&O LAKE KIS MU 1aT 84,219.16 75,797.24","KBL NGO F24« KISUMU 14T BEER EER N&O LAKE KIS MU 1aT 84,219.16 75,797.24",KBL NGO F24 KISUMU 14T BEER EER NO LAKE KIS MU 1AT 8421916 7579724,,84219.16,,
