LANE DESCRIPTION,SOURCE,REGION,DESTINATION,Truck,,"FINAL RATE CARD
Exclusive of other charges (Offloading, county fees, parking
fees and any other)"
F24 - BDC - BOMET - Spirits - 14T,NBO,Rift,BOMET,14T,,"49,973.34"
F24 - BDC - BOMET - Spirits - 30T,NBO,Rift,BOMET,30T,,"49,973.34"
F24 - BDC - BOMET - Spirits - 7.5T,NBO,Rift,BOMET,7.5T,,"49,973.34"
F24 - BDC - BOMET - Spirits - P/Up,NBO,Rift,BOMET,P/up,,"49,973.34"
F24 - BDC - ELDORET - Spirits - 14T,NBO,Rift,ELDORET,14T,,"71,556.97"
F24 - BDC - ELDORET - Spirits - 30T,NBO,Rift,ELDORET,30T,,"112,067.90"
F24 - BDC - ELDORET - Spirits - 7.5T,NBO,Rift,ELDORET,7.5T,,"64,505.51"
F24 - BDC - ELDORET - Spirits - P/Up,NBO,Rift,ELDORET,P/up,,"64,359.60"
F24 - BDC - KERICHO EB - Spirits - 14T,NBO,Rift,KERICHO,14T,,"90,197.30"
F24 - BDC - KERICHO EB - Spirits - 30T,NBO,Rift,KERICHO,30T,,"90,197.30"
F24 - BDC - KERICHO EB - Spirits - 7.5T,NBO,Rift,KERICHO,7.5T,,"90,197.30"
F24 - BDC - KERICHO EB - Spirits - P/Up,NBO,Rift,KERICHO,P/up,,"90,197.30"
F24 - BDC - KISII - Spirits - 14T,NBO,Rift,KISII,14T,,"61,343.27"
F24 - BDC - KISII - Spirits - 30T,NBO,Rift,KISII,30T,,"61,343.27"
F24 - BDC - KISII - Spirits - 7.5T,NBO,Rift,KISII,7.5T,,"61,343.27"
F24 - BDC - KISII - Spirits - P/Up,NBO,Rift,KISII,P/up,,"61,343.27"
F24 - BDC - KITALE - Spirits - 14T,NBO,Rift,KITALE,14T,,"25,319.60"
F24 - BDC - KITALE - Spirits - 30T,NBO,Rift,KITALE,30T,,"25,319.60"
F24 - BDC - KITALE - Spirits - 7.5T,NBO,Rift,KITALE,7.5T,,"25,319.60"
F24 - BDC - KITALE - Spirits - P/Up,NBO,Rift,KITALE,P/up,,"25,319.60"
F24 - BDC - NAIVASHA EB - Spirits - 14T,NBO,Rift,NAIVASHA,14T,,"38,525.07"
F24 - BDC - NAIVASHA EB - Spirits - 30T,NBO,Rift,NAIVASHA,30T,,"38,525.07"
F24 - BDC - NAIVASHA EB - Spirits - 7.5T,NBO,Rift,NAIVASHA,7.5T,,"38,525.07"
F24 - BDC - NAIVASHA EB - Spirits - P/Up,NBO,Rift,NAIVASHA,P/up,,"38,525.07"
F24 - BDC - NAKURU - Spirits - 14T,NBO,Rift,NAKURU,14T,,"48,136.24"
F24 - BDC - NAKURU - Spirits - 30T,NBO,Rift,NAKURU,30T,,"48,136.24"
F24 - BDC - NAKURU - Spirits - 7.5T,NBO,Rift,NAKURU,7.5T,,"48,136.24"
F24 - BDC - NAKURU - Spirits - P/Up,NBO,Rift,NAKURU,P/up,,"48,136.24"
F24 - BDC - NAKURU EB - Spirits - 14T,NBO,Rift,NAKURU,14T,,"34,523.52"
F24 - BDC - NAKURU EB - Spirits - 30T,NBO,Rift,NAKURU,30T,,"34,523.52"
F24 - BDC - NAKURU EB - Spirits - 7.5T,NBO,Rift,NAKURU,7.5T,,"34,523.52"
F24 - BDC - NAKURU EB - Spirits - P/Up,NBO,Rift,NAKURU,P/up,,"34,523.52"
F24 - BDC - NAROK EB - Spirits - 14T,NBO,Rift,NAROK,14T,,"34,523.52"
F24 - BDC - NAROK EB - Spirits - 30T,NBO,Rift,NAROK,30T,,"34,523.52"
F24 - BDC - NAROK EB - Spirits - 7.5T,NBO,Rift,NAROK,7.5T,,"34,523.52"
F24 - BDC - NAROK EB - Spirits - P/Up,NBO,Rift,NAROK,P/up,,"34,523.52"
F24 - BDC - NJORO EB - Spirits - 14T,NBO,Rift,NJORO,14T,,"34,523.52"
F24 - BDC - NJORO EB - Spirits - 30T,NBO,Rift,NJORO,30T,,"34,523.52"
F24 - BDC - NJORO EB - Spirits - 7.5T,NBO,Rift,NJORO,7.5T,,"34,523.52"
F24 - BDC - NJORO EB - Spirits - P/Up,NBO,Rift,NJORO,P/up,,"34,523.52"
F24 - BDC - NYAHURURU - Spirits - 14T,NBO,Rift,NYAHURURU,14T,,"65,757.24"
F24 - BDC - NYAHURURU - Spirits - 30T,NBO,Rift,NYAHURURU,30T,,"65,757.24"
F24 - BDC - NYAHURURU - Spirits - 7.5T,NBO,Rift,NYAHURURU,7.5T,,"65,757.24"
F24 - BDC - NYAHURURU - Spirits - P/Up,NBO,Rift,NYAHURURU,P/up,,"65,757.24"
F24 -BDC -BOMET - Beer - 14T,NBO,Rift,BOMET,14T,,"51,427.29"
F24 -BDC -BOMET - Beer - 30T,NBO,Rift,BOMET,30T,,"80,387.37"
F24 -BDC -BOMET - Beer - 7.5T,NBO,Rift,BOMET,7.5T,,"40,183.44"
F24 -BDC -BOMET - Beer - P/up,NBO,Rift,BOMET,P/up,,"41,434.88"
F24 -BDC -NAIVASHA - Beer - 14T,NBO,Rift,NAIVASHA,14T,,"26,045.45"
F24 -BDC -NAIVASHA - Beer - 30T,NBO,Rift,NAIVASHA,30T,,"39,813.46"
F24 -BDC -NAIVASHA - Beer - 7.5T,NBO,Rift,NAIVASHA,7.5T,,"20,854.63"
F24 -BDC -NAIVASHA - Beer - P/up,NBO,Rift,NAIVASHA,P/up,,"25,385.67"
F24 -BDC -NAROK - Beer - 14T,NBO,Rift,NAROK,14T,,"22,923.50"
F24 -BDC -NAROK - Beer - 30T,NBO,Rift,NAROK,30T,,"22,923.50"
F24 -BDC -NAROK - Beer - 7.5T,NBO,Rift,NAROK,7.5T,,"22,923.50"
F24 -BDC -NAROK - Beer - P/up,NBO,Rift,NAROK,P/up,,"22,923.50"
KBL NBO F20 - BOMET 14T BEER,NBO,Rift,BOMET,14T,,"49,332.59"
KBL NBO F20 - BOMET 14T KEG,NBO,Rift,BOMET,14T,,"31,660.43"
KBL NBO F20 - Bomet 14T SPIRIT,NBO,Rift,Bomet,14T,,"49,408.86"
KBL NBO F20 - BOMET 30T BEER,NBO,Rift,BOMET,30T,,"43,687.77"
KBL NBO F20 - BOMET 30T KEG,NBO,Rift,BOMET,30T,,"91,472.22"
KBL NBO F20 - Bomet 30T SPIRIT,NBO,Rift,Bomet,30T,,"48,696.27"
