LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
AUTO - AGL TRANSFER - 14T,NBO,,AGL TRANSFER,14T,,527.0
AUTO - ATHI RIVER - 7.5T,NBO,,ATHI RIVER,7.5T,,12362.27
AUTO - CHANGAMWE EB - 30T,NBO,,CHANGAMWE EB,30T,,60855.3
AUTO - CHANGAMWE EB - 7.5T,NBO,,CHANGAMWE EB,7.5T,,43817.2
AUTO - CHUKA EB - 30T,NBO,,CHUKA EB,30T,,37593.47
AUTO - DANDORA EB - 14T,NBO,,DANDORA EB,14T,,6701.93
AUTO - DANDORA EB - 7.5T,NBO,,DANDORA EB,7.5T,,8446.2
AUTO - DIANI 7T THT - 7T,NBO,,DIANI 7T THT,7T,,216.0
AUTO - DIANI PICKUPVAN THT - DIANIPICKUPVANTHT,NBO,,DIANI PICKUPVAN THT,DIANIPICKUPVANTHT,,35277.62
AUTO - EMALI EB - 14T,NBO,,EMALI EB,14T,,15913.71
AUTO - EMBU - 30T,NBO,,EMBU,30T,,28596.55
AUTO - EMBU EB - 30T,NBO,,EMBU EB,30T,,21889.34
AUTO - GIKOMBA - 14T,NBO,,GIKOMBA,14T,,1080.0
AUTO - GITHUNGURI EB - 14T,NBO,,GITHUNGURI EB,14T,,9065.99
AUTO - GITHURAI - 14T,NBO,,GITHURAI,14T,,7009.32
AUTO - GITHURAI EB - 7.5T,NBO,,GITHURAI EB,7.5T,,6767.39
AUTO - HOMA BAY - 7.5T,NBO,,HOMA BAY,7.5T,,18902.26
AUTO - IKUTHA EB - 14T,NBO,,IKUTHA EB,14T,,26979.7
AUTO - ISIOLO - 30T,NBO,,ISIOLO,30T,,1674.0
AUTO - KABARNET - 14T,NBO,,KABARNET,14T,,41437.6
AUTO - KANGEMA EB - 30T,NBO,,KANGEMA EB,30T,,20779.28
AUTO - KARATINA - 7.5T,NBO,,KARATINA,7.5T,,13010.38
AUTO - KARATINA EB - 14T,NBO,,KARATINA EB,14T,,17534.47
AUTO - KAWANGWARE EB - 14T,NBO,,KAWANGWARE EB,14T,,7201.32
