lane_text,lane_code,product,tonnage,rate
KOLNGO F24- ATHIRIVER LAT BEER,F24,BEER,14T,33717.07
NEO F24. BOMET 147 BEER,F24,BEER,24T,57363.99
NBO F24- RUNGOMA 147 BEER,F24,BEER,24T,99104.0
NBO F24- BUSIA 347 BEER,F24,BEER,24T,110943.09
NDO F24-CHUKA 147 BEER,F24,BEER,24T,30743.01
NBO F24 - ELDORET 147 BEER,F24,BEER,24T,79998.73
NBO F24 . EMOU 147 BEER,F24,BEER,24T,34004.38
KBLNEO F24- GIKOMBA 147 BEER,F24,BEER,24T,15851.56
F24 . HURLIGHUM DEF 147 BEER,F24,BEER,24T,31508.82
NBO F24 - INDUSTRIAL AREA 14T BEER,F24,BEER,14T,12329.14
NBO F24 . ISIOLO 147 BEER,F24,BEER,24T,57558.23
NAO F24- KABARNET 147 BEER,F24,BEER,24T,81725.2
NBO F24- KABATI 147 BEER,F24,BEER,24T,16021.06
NBO F24 - KANGEMA LAT BEER,F24,BEER,14T,27165.18
NGO F24. KIBERA 147 BEER,F24,BEER,24T,10372.17
NBO F24 - KISH 147 BEER,F24,BEER,24T,74580.04
NEO F24- KITALE 147 BEER,F24,BEER,24T,577.75
NBO F24 - KITU 147 BEER,F24,BEER,24T,41298.1
NBO F24 - LANET 147 BEER,F24,BEER,24T,46202.47
NBO F24- LIMURU 141 BEER,F24,BEER,24T,15643.03
NBO F24 - MACHAKOS 147 BEER,F24,BEER,24T,22126.95
NEO F24 - MARALAL 147 BEER,F24,BEER,24T,73765.55
NEO F24. MATHARE 147 BEER,F24,BEER,24T,10764.17
KBLNGO F24- MERU 14T BEER,F24,BEER,14T,49332.59
NBO F24 - MOGOTIO 147 BEER,F24,BEER,24T,56023.16
NBO F24 - MTONGWE 147 BEER,F24,BEER,24T,417378.03
NBO F24 - MURANGA 147 BEER,F24,BEER,24T,24495.0
NBO F24 - MWIKI14T BEER,F24,BEER,14T,10764.17
KBLNOO F24 - NAIROBI 147 BEER,F24,BEER,24T,13476.02
NBO F24 - NRB NASRA 14T BEER,F24,BEER,14T,10666.17
NBO F24 - RONGAI14T BEER,F24,BEER,14T,11899.85
NBO F24- RUIRU 147 BEER,F24,BEER,24T,13476.82
NBO F24- TALA 147 BEER,F24,BEER,24T,29031.72
NBO F24. UKUNDA 147 BEER,F24,BEER,24T,124170.03
NBO F24- CHUKA 307 BEUR BEER,F24,BEER,24T,69045.12
KOLNBO F24. EMALI30T BEER,F24,BEER,30T,52623.99
KOLNDO F24- EMBU 30T BEER,F24,BEER,30T,56317.1
NBO F24- GARISSA 30T BEER,F24,BEER,30T,149174.63
XBLNGO F24. GIKOMBA 307 BEER,F24,BEER,24T,10006.2
KGLNAG F24 - GiLGil SOY MEER BEER,F24,BEER,24T,55779.97
NIG F24- HURLIGHUM DEF 307 BEER,F24,BEER,24T,18086.2
NBO F24-HURUMA 307 BEER,F24,BEER,24T,15075.87
NGO F24- KABARNET 30T BEER,F24,BEER,30T,800.0
F24. KAPSABET 30T BEER,F24,BEER,30T,128215.14
NAO F24- KERICHO 307 BEER,F24,BEER,24T,106344.77
NBO F24- LOKICHOGIO SOT 6 BEER,F24,BEER,24T,321264.99
NBO F24- MARALAL 307 BEER,F24,BEER,24T,297006.31
NAO F24- MARSAQIT 307 ACER BEER,F24,BEER,24T,197506.59
NGO F24- MATHARE 307 BEER,F24,BEER,24T,14798.8
NBO F24- MOGOTIO 30T BEER,F24,BEER,30T,89138.2
NBO F24. MURANGA 30T BEER,F24,BEER,30T,34535.32
NBO F24- MWIKIZOT BEER,F24,BEER,24T,14798.8
NBO F24- NAIROBI THT 30T GEER BEER,F24,BEER,30T,14798.8
NBO F24- NAIVASHA 307 BEER,F24,BEER,24T,45257.04
NBO F24- NANOK JOT BLER BEER,F24,BEER,24T,41275.44
KALNBO F24- NKUBU JOT BEER,F24,BEER,24T,86540.65
NSO F24- NYALI30T BEER,F24,BEER,30T,189644.62
NBO F24. NYERI30T BEER,F24,BEER,30T,775.74
NBO F24 - OTHAYA JOT DEER BEER,F24,BEER,24T,49452.75
NBO F24- RONGAI30T BEER,F24,BEER,30T,17263.63
NOO F24- AUIRU JOT DEER IBEER,F24,BEER,24T,17439.73
NBO F24- TALA 307 BEER,F24,BEER,24T,32979.0
NBO F24- TAVETA 307 BEER,F24,BEER,24T,135259.09
NGO F24- THIKA 207 GEER BEER,F24,BEER,24T,23278.04
NBO F24- UKUNDA 30T BEER,F24,BEER,30T,142485.0
NDO F24-ATHIAIVER 7.57 BEER,F24,BEER,24T,13274.85
NBO F24 - BOMET 7.5T BEER,F24,BEER,7.5T,43687.77
NBO F24 - BURUBURU 7.57 BEER,F24,BEER,24T,11138.83
KBLNGO F24. GUSIA 7.5T BEER,F24,BEER,7.5T,515.4
NOO F24 - DAGORETTI CORNER 7.5T BEER,F24,BEER,7.5T,10024.95
KBLNBO F24. DANDORA 7.5T BEER,F24,BEER,7.5T,794.24
NBO F24 - EMALI7.ST BEER,F24,BEER,24T,26766.48
F24-GATUNDU 7.57 BEER,F24,BEER,24T,869.38
KBLNBO F24 - GILGIL 7.S7 BEER,F24,BEER,24T,988.26
NBO F24- NURLIGHUM DEF 7.57 BEER,F24,BEER,24T,10158.83
NBO F24. HURUMA 7.57 BEER,F24,BEER,24T,11138.83
NGO F24- KAGIO 7.5T BEER,F24,BEER,7.5T,23871.4
NBO F24- KERICHO 7.5T BEER,F24,BEER,7.5T,265.22
NEO F24 . KIBERA 7.57 BEER,F24,BEER,24T,794.24
NBO F24 - KIBWEZI7.ST BEER,F24,BEER,24T,877.22
HOO F24- KIS 7.57 BEER,F24,BEER,24T,879.02
NBO F24 - KITALE 7.57 BEER,F24,BEER,24T,68220.4
KALNGO F24 - KITUI7.ST BEER,F24,BEER,24T,32141.62
NEO F24 - LIMURU 7.5T BEER,F24,BEER,7.5T,354.45
KBLNOO F24 - LOITOKTOK 7.57 BEER,F24,BEER,24T,37151.73
KDLUNGO F24 - MACHAKOS 7.57 BEER,F24,BEER,24T,17200.08
NBO F24 - MAKONGENI 7.57 BEER,F24,BEER,24T,12466.24
NOO F246. MATHARE 7.57 BEER,F24,BEER,24T,794.24
NEO F24 . MAUA 7.5T BEER,F24,BEER,7.5T,265.22
NSO F24- MOGOTIO 7.5T BEER,F24,BEER,7.5T,43134.94
NDO F24- MTONGWE 7.57 BEER,F24,BEER,24T,576.73
NBO F24 - MURANGA 7.ST BEER,F24,BEER,24T,56.22
NBO F24- MWIKI 7.57 BEER,F24,BEER,24T,794.24
KBLNGO F24- NAKURU 7.57 BEER,F24,BEER,24T,473.09
KBLNBO F24- NANYUKI7.ST BEER,F24,BEER,24T,37201.69
NBO F24 - NGONG 7.5T BEER,F24,BEER,7.5T,12793.88
NBO F24- NIORO 7.57 BEER,F24,BEER,24T,36531.7
NBO F24 . NRB NASRA 7.ST BEER,F24,BEER,24T,794.24
NBO F24 - NVERI7.5T BEER,F24,BEER,7.5T,30898.75
NBO F24 - OTHAYA 7.57 DEER BEER,F24,BEER,24T,950.0
NBO F24 . TAVETA 7.57 BEER,F24,BEER,24T,63839.27
NAO F24- VOI7.ST BEER,F24,BEER,24T,62651.65
KBLNGO F24- WAJIR7.5T BEER,F24,BEER,7.5T,218.35
NBO F24- NAIROBI T POEER BEER,F24,BEER,24T,111.04
NBO F24- AUALOUAU 147 KEG,F24,KEG,24T,13538.63
NBO F24 - CHANGAMWE 14T KEG,F24,KEG,14T,145235.84
NOO F24 - DANDORA 14T KEG,F24,KEG,14T,13933.18
NBO F24 - DONYO 14T KEG,F24,KEG,14T,19148.67
f24- E00 KEG,,KEG,24T,78702.68
NBO F24 - EMALI 147 KEG,F24,KEG,24T,34697.19
NBO F24 - EMU 14T KEG,F24,KEG,14T,34066.19
NBO F24 - GILGIL 14T KEG,F24,KEG,14T,36097.75
NBO F24. GITHUNGURI 147 KEG,F24,KEG,24T,19186.64
KGLNGO F24. HOLA LAT KEG,F24,KEG,14T,113399.22
NBO F24-IKUTHA 147 KEG,F24,KEG,24T,98994.9
KOLUNDO F24-JUJA 147 KEG,F24,KEG,24T,14479.11
NBO F24 KABATI 141 KEG,F24,KEG,24T,25416.08
NOG F24-KAGIO 147 KEG,F24,KEG,24T,26056.05
KELNBO F24- TALA 147 KEG,F24,KEG,24T,15439.59
NBO F24. KAHURO 14T KEG,F24,KEG,14T,27858.11
NBO F24- KAKAMEGA 147 KEG,F24,KEG,24T,93505.82
NBO F24. KANGARI 147 KEG,F24,KEG,24T,23955.38
NBO F24 - KAPSABET 14T KEG,F24,KEG,14T,99654.22
KELNGO F24- KARATINA 141 KEG,F24,KEG,24T,34204.95
NGO F24- KERUGOYA 147 KEG,F24,KEG,24T,53571.37
NBO F24 - KIAMBU 14T KEG,F24,KEG,14T,14291.71
NBO F24. KIANYAGA 147 KEG,F24,KEG,24T,34625.57
KBLNBO F24- KIBWEZI 147 KEG,F24,KEG,24T,50695.83
KOLNGO F24- KIKUYU 147 KEG,F24,KEG,24T,12558.03
NOG F24- KILIFI 147 KEG,F24,KEG,24T,124616.34
NGO F24- KINAMBA 14T KEG,F24,KEG,14T,60508.92
XBLNBO F24- KISII 147 KEG,F24,KEG,24T,73963.47
NGO F24 - KISUMU 44T KEG,F24,KEG,44T,85269.54
NNO F24- KITAUE 147 KEG,F24,KEG,24T,92262.83
NGO F24. KITENGELA 147 KEG,F24,KEG,24T,21274.12
KBLNBO F24.LIMURU 147 KEG,F24,KEG,24T,15704.85
KBLNBO F24- MACHAKOS 17 KEG,F24,KEG,24T,25708.02
NBO F24 - MARIMANTI 14T KEG,F24,KEG,14T,53854.7
NGO F24. MARSABIT 147 KEG,F24,KEG,24T,124214.15
INDO F24- MERU 307 KEG,F24,KEG,24T,56983.45
KBLNGO F24 - MLOLONGO 147 KEG,F24,KEG,24T,16662.65
NBO F24- MURANGA 147 KEG,F24,KEG,24T,24556.83
LNA F24- MUTOMO 147 KEG,F24,KEG,24T,52503.83
KBLNBO F24 MWATATE LAT KEG,F24,KEG,14T,85626.8
KBLNBO F24 . MWEA 141 KEG,F24,KEG,24T,27648.4
KBLINGO F24- MWIKIL4T KEG,F24,KEG,5T,19175.45
NGO F24. MWINGI 14T KEG,F24,KEG,14T,36427.58
KBLNO F24 - NAKURU 14T KEG,F24,KEG,14T,43740.53
KBLNBO F24- NANYUKII4Y KEG,F24,KEG,24T,57869.95
NBO F24- NGONG 147 KEG,F24,KEG,24T,20046.75
KBLNGO F24- NIORO 14T KEG,F24,KEG,14T,47946.77
KELNGO F24. NKUBU 14T KEG,F24,KEG,14T,62585.37
NGO F24- NAB JERICHO 147 KEG,F24,KEG,24T,13538.63
NGO F24 - NAB NASRA 147 KEG,F24,KEG,24T,11646.17
XBLNGO F24- NYAHURURU 147 KEG,F24,KEG,24T,44098.5
KBLNBO F24- NVYAMBARE 141 KEG,F24,KEG,24T,17656.33
NGO F24- NYERI 147 KEG,F24,KEG,24T,49358.77
NBO F24- OTHAYA 147 KEG,F24,KEG,24T,38920.08
KBLNGO F24. PIPELINE 14T KEG,F24,KEG,14T,23530.63
KBLNSO F24. RUIRU 147 KEG,F24,KEG,24T,19268.62
NGO F24- SAMBUAU 14T KEG,F24,KEG,14T,99547.04
NGO F24- THIKA 147 KEG,F24,KEG,24T,17495.08
KBLNNO F24- UKUNDA 147 KEG,F24,KEG,24T,123205.7
NBO F24 - VOI 1AT KEG,F24,KEG,24T,51583.91
KBLINBO F24. WOTE 14T KEG,F24,KEG,14T,31660.43
NBO F24 - WUNDANYVI 14T KEG,F24,KEG,14T,90035.72
NBO F24 - BOMET 307 KEG,F24,KEG,24T,91472.22
